 ,Area,Mean,Min,Max,X,Y
1,0,226,226,226,1972.000,522.500
2,0,163,163,163,1967.333,523.500
3,0,134,134,134,1961.500,527.500
4,0,133,133,133,1958.167,533.833
5,0,114,114,114,1957.833,540.667
6,0,97,97,97,1959.833,548.333
7,0,97,97,97,1965.167,553.500
8,0,110,110,110,1970.667,556.667
9,0,103,103,103,1974.333,557.000
10,0,97,97,97,1978.333,554.667
11,0,100,100,100,1982.000,551.833
12,0,94,94,94,1984.167,548.333
13,0,104,104,104,1986.333,543.833
14,0,106,106,106,1988.000,539.000
15,0,111,111,111,1988.000,534.500
16,0,112,112,112,1986.667,530.333
17,0,120,120,120,1984.000,527.500
18,0,139,139,139,1980.833,525.167
19,0,190,190,190,1976.500,523.333
