 ,Area,Mean,Min,Max,X,Y
1,0,253,253,253,162.500,448.500
2,0,220,220,220,151.167,451.167
3,0,164,164,164,141.500,454.500
4,0,153,153,153,132.167,461.167
5,0,144,144,144,123.167,469.167
6,0,154,154,154,113.833,478.833
7,0,149,149,149,107.833,489.500
8,0,151,151,151,103.167,498.833
9,0,152,152,152,99.500,509.167
10,0,167,167,167,98.167,518.167
11,0,168,168,168,99.167,530.500
12,0,122,122,122,103.833,542.833
13,0,121,121,121,107.500,553.167
14,0,112,112,112,112.833,564.500
15,0,127,127,127,118.167,576.833
16,0,124,124,124,123.167,588.167
17,0,122,122,122,130.833,598.167
18,0,129,129,129,139.167,607.500
19,0,132,132,132,147.833,613.500
20,0,177,177,177,157.500,617.167
21,0,194,194,194,167.833,617.833
22,0,157,157,157,179.833,616.167
23,0,125,125,125,191.833,612.500
24,0,127,127,127,203.833,607.500
25,0,125,125,125,213.833,601.500
26,0,127,127,127,220.833,593.833
27,0,120,120,120,227.167,584.833
28,0,126,126,126,231.167,576.167
29,0,134,134,134,233.833,566.833
30,0,129,129,129,235.833,557.167
31,0,136,136,136,236.167,545.500
32,0,134,134,134,237.167,536.167
33,0,139,139,139,236.167,525.167
34,0,146,146,146,235.833,516.833
35,0,149,149,149,234.167,507.500
36,0,151,151,151,231.167,498.500
37,0,137,137,137,227.500,488.833
38,0,154,154,154,222.833,481.833
39,0,153,153,153,217.167,475.167
40,0,155,155,155,210.500,468.500
41,0,159,159,159,203.500,461.500
42,0,156,156,156,197.167,456.500
43,0,168,168,168,189.500,453.833
44,0,190,190,190,182.500,451.500
45,0,219,219,219,176.167,449.833
46,0,231,231,231,169.833,449.167
