 ,Area,Mean,Min,Max,X,Y
1,0,225,225,225,1241.833,492.500
2,0,165,165,165,1233.167,494.167
3,0,136,136,136,1225.167,497.833
4,0,131,131,131,1218.500,502.500
5,0,138,138,138,1213.500,507.167
6,0,123,123,123,1209.500,513.500
7,0,121,121,121,1207.167,522.167
8,0,113,113,113,1205.500,531.833
9,0,109,109,109,1205.167,544.167
10,0,102,102,102,1206.500,552.833
11,0,109,109,109,1209.833,560.167
12,0,92,92,92,1215.167,569.167
13,0,91,91,91,1222.167,576.500
14,0,90,90,90,1229.833,582.500
15,0,111,111,111,1240.500,586.500
16,0,100,100,100,1251.833,586.833
17,0,96,96,96,1260.833,581.500
18,0,95,95,95,1266.500,574.833
19,0,91,91,91,1271.167,566.167
20,0,94,94,94,1274.833,558.500
21,0,98,98,98,1277.167,550.500
22,0,91,91,91,1275.500,540.167
23,0,99,99,99,1276.167,531.167
24,0,108,108,108,1273.500,522.833
25,0,111,111,111,1269.500,512.500
26,0,113,113,113,1266.500,506.500
27,0,115,115,115,1264.167,502.500
28,0,127,127,127,1258.500,496.833
29,0,137,137,137,1252.500,493.833
30,0,170,170,170,1247.500,493.167
