 ,Area,Mean,Min,Max,X,Y
1,0,254,254,254,506.167,461.500
2,0,195,195,195,495.500,463.167
3,0,147,147,147,486.500,467.500
4,0,126,126,126,479.500,474.167
5,0,135,135,135,472.167,480.833
6,0,128,128,128,466.167,489.500
7,0,139,139,139,460.500,498.833
8,0,145,145,145,457.167,509.833
9,0,149,149,149,454.500,521.167
10,0,137,137,137,453.500,533.167
11,0,117,117,117,454.833,547.167
12,0,105,105,105,458.167,560.500
13,0,102,102,102,462.833,573.167
14,0,94,94,94,467.833,584.167
15,0,103,103,103,474.167,594.833
16,0,100,100,100,481.500,602.500
17,0,105,105,105,491.833,609.833
18,0,118,118,118,502.167,614.500
19,0,141,141,141,512.833,616.500
20,0,138,138,138,522.167,615.833
21,0,107,107,107,531.500,611.833
22,0,107,107,107,539.500,606.500
23,0,102,102,102,546.833,602.167
24,0,101,101,101,552.500,597.167
25,0,109,109,109,557.167,590.833
26,0,100,100,100,560.833,585.167
27,0,105,105,105,565.500,577.500
28,0,105,105,105,568.833,568.833
29,0,91,91,91,572.500,561.500
30,0,87,87,87,574.833,555.167
31,0,98,98,98,575.167,547.167
32,0,94,94,94,575.167,541.500
33,0,101,101,101,574.167,533.833
34,0,110,110,110,572.500,526.833
35,0,108,108,108,570.500,517.833
36,0,107,107,107,567.833,509.833
37,0,110,110,110,565.167,502.500
38,0,118,118,118,560.167,493.833
39,0,130,130,130,555.167,487.500
40,0,128,128,128,550.833,482.167
41,0,141,141,141,544.500,476.833
42,0,135,135,135,537.833,472.167
43,0,141,141,141,531.167,467.833
44,0,147,147,147,525.167,464.167
45,0,160,160,160,520.500,462.167
46,0,209,209,209,513.167,461.167
