 ,Area,Mean,Min,Max,X,Y
1,0,53,53,53,2022.000,117.500
2,0,0,0,0,2015.500,110.500
3,0,0,0,0,2007.500,104.500
4,0,0,0,0,1999.500,101.000
5,0,1,1,1,1991.000,98.500
6,0,19,19,19,1981.500,99.000
7,0,0,0,0,1972.000,102.000
8,0,0,0,0,1965.000,106.000
9,0,0,0,0,1959.000,112.000
10,0,19,19,19,1953.500,118.500
11,0,0,0,0,1947.500,126.500
12,0,0,0,0,1944.000,135.000
13,0,0,0,0,1940.000,145.500
14,0,0,0,0,1938.500,157.500
15,0,0,0,0,1938.000,169.000
16,0,20,20,20,1939.500,179.500
17,0,65,65,65,1941.500,191.000
18,0,0,0,0,1944.500,200.500
19,0,0,0,0,1948.500,210.500
20,0,0,0,0,1955.000,219.000
21,0,0,0,0,1961.000,226.000
22,0,0,0,0,1969.000,231.500
23,0,56,56,56,1976.500,235.500
24,0,0,0,0,1982.500,236.000
25,0,17,17,17,1991.000,236.500
26,0,0,0,0,1998.500,234.500
27,0,59,59,59,2005.500,231.000
28,0,100,100,100,2013.500,227.500
29,0,0,0,0,2018.000,223.000
30,0,28,28,28,2023.500,217.500
31,0,0,0,0,2027.000,212.000
32,0,0,0,0,2030.500,206.000
33,0,0,0,0,2034.000,199.000
34,0,17,17,17,2036.000,192.000
35,0,10,10,10,2038.500,185.500
36,0,0,0,0,2039.500,179.000
37,0,0,0,0,2039.500,172.500
38,0,0,0,0,2040.000,166.500
39,0,0,0,0,2040.000,161.000
40,0,0,0,0,2039.500,154.500
41,0,1,1,1,2037.500,148.000
42,0,0,0,0,2035.500,141.500
43,0,62,62,62,2034.000,135.000
44,0,0,0,0,2032.000,130.000
45,0,175,175,175,2028.500,123.500
