 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,1266.500,68.000
2,0,0,0,0,1260.500,68.500
3,0,17,17,17,1250.000,69.000
4,0,3,3,3,1241.000,72.500
5,0,0,0,0,1229.000,78.000
6,0,0,0,0,1220.500,84.000
7,0,0,0,0,1212.000,91.000
8,0,0,0,0,1204.000,100.500
9,0,0,0,0,1197.000,112.000
10,0,44,44,44,1192.500,123.500
11,0,0,0,0,1189.000,133.500
12,0,0,0,0,1186.000,146.000
13,0,0,0,0,1184.500,161.000
14,0,0,0,0,1184.500,174.500
15,0,0,0,0,1186.000,187.500
16,0,0,0,0,1189.000,201.000
17,0,0,0,0,1195.000,218.000
18,0,0,0,0,1201.000,230.500
19,0,0,0,0,1209.500,241.000
20,0,0,0,0,1218.500,250.000
21,0,0,0,0,1230.000,258.500
22,0,0,0,0,1242.000,263.500
23,0,0,0,0,1252.000,265.500
24,0,0,0,0,1260.500,267.500
25,0,0,0,0,1270.000,268.000
26,0,0,0,0,1280.000,265.000
27,0,0,0,0,1291.000,261.000
28,0,112,112,112,1300.500,256.500
29,0,1,1,1,1308.000,252.000
30,0,0,0,0,1314.500,244.500
31,0,0,0,0,1322.500,236.500
32,0,6,6,6,1327.500,229.000
33,0,0,0,0,1332.000,222.000
34,0,0,0,0,1336.000,211.500
35,0,0,0,0,1340.000,203.000
36,0,0,0,0,1343.000,192.000
37,0,0,0,0,1345.000,181.500
38,0,0,0,0,1345.500,168.000
39,0,0,0,0,1345.000,158.000
40,0,3,3,3,1344.000,148.500
41,0,0,0,0,1342.000,138.500
42,0,0,0,0,1338.000,127.000
43,0,22,22,22,1335.500,119.500
44,0,0,0,0,1330.000,111.000
45,0,1,1,1,1324.500,102.500
46,0,0,0,0,1319.000,94.500
47,0,0,0,0,1311.000,87.500
48,0,59,59,59,1304.500,81.000
49,0,0,0,0,1298.000,77.500
50,0,35,35,35,1288.500,73.000
51,0,241,241,241,1276.000,68.000
