 ,Area,Mean,Min,Max,X,Y
1,0,125,125,125,1051.083,144.333
2,0,134,134,134,1047.917,144.750
3,0,122,122,122,1044.917,145.417
4,0,140,140,140,1041.833,146.500
5,0,131,131,131,1039.333,147.667
6,0,122,122,122,1036.250,149.167
7,0,121,121,121,1033.333,151.417
8,0,136,136,136,1030.667,153.583
9,0,115,115,115,1028.417,156.417
10,0,120,120,120,1026.417,159.333
11,0,123,123,123,1024.417,162.833
12,0,127,127,127,1023.333,166.667
13,0,125,125,125,1022.333,169.667
14,0,135,135,135,1021.833,173.250
15,0,138,138,138,1021.833,177.250
16,0,130,130,130,1022.083,180.750
17,0,135,135,135,1022.833,184.500
18,0,132,132,132,1023.667,187.667
19,0,120,120,120,1025.333,191.000
20,0,131,131,131,1027.083,193.833
21,0,136,136,136,1030.083,196.917
22,0,155,155,155,1032.500,199.167
23,0,128,128,128,1035.083,201.833
24,0,127,127,127,1038.417,203.833
25,0,142,142,142,1040.667,205.167
26,0,124,124,124,1043.917,206.500
27,0,139,139,139,1047.250,207.167
28,0,123,123,123,1051.583,207.583
29,0,120,120,120,1055.333,207.667
30,0,113,113,113,1059.250,206.917
31,0,118,118,118,1063.250,205.750
32,0,136,136,136,1066.417,204.250
33,0,115,115,115,1069.667,202.500
34,0,129,129,129,1072.917,200.167
35,0,124,124,124,1076.000,197.833
36,0,127,127,127,1078.583,194.417
37,0,132,132,132,1080.417,191.500
38,0,122,122,122,1082.167,188.583
39,0,120,120,120,1083.583,185.750
40,0,116,116,116,1084.583,182.667
41,0,121,121,121,1084.667,178.833
42,0,123,123,123,1085.167,174.583
43,0,120,120,120,1084.583,171.417
44,0,127,127,127,1084.250,168.250
45,0,123,123,123,1083.333,164.750
46,0,134,134,134,1081.417,161.500
47,0,123,123,123,1079.750,158.333
48,0,129,129,129,1077.333,155.333
49,0,123,123,123,1074.667,152.583
50,0,128,128,128,1072.250,151.000
51,0,124,124,124,1069.250,148.417
52,0,124,124,124,1066.667,146.583
53,0,135,135,135,1064.083,145.500
54,0,126,126,126,1061.333,144.750
55,0,122,122,122,1059.083,143.833
56,0,120,120,120,1056.167,143.417
57,0,124,124,124,1054.083,143.583
