 ,Area,Mean,Min,Max,X,Y
1,0,72,72,72,150.500,105.250
2,0,0,0,0,145.000,108.000
3,0,0,0,0,141.500,110.250
4,0,27,27,27,138.250,112.250
5,0,15,15,15,134.000,116.750
6,0,123,123,123,129.500,121.500
7,0,30,30,30,125.250,126.000
8,0,8,8,8,122.000,130.500
9,0,0,0,0,119.250,134.250
10,0,76,76,76,117.500,138.250
11,0,0,0,0,115.250,142.750
12,0,119,119,119,114.500,145.750
13,0,124,124,124,114.250,150.750
14,0,125,125,125,113.500,156.250
15,0,123,123,123,113.000,161.500
16,0,129,129,129,113.250,169.000
17,0,136,136,136,113.750,177.500
18,0,134,134,134,115.250,185.500
19,0,135,135,135,117.250,191.000
20,0,133,133,133,120.000,198.250
21,0,129,129,129,122.750,204.500
22,0,26,26,26,124.500,208.500
23,0,136,136,136,128.750,214.250
24,0,141,141,141,132.500,218.250
25,0,64,64,64,137.750,221.750
26,0,9,9,9,141.000,224.500
27,0,135,135,135,147.000,228.500
28,0,72,72,72,153.000,231.500
29,0,49,49,49,158.500,233.250
30,0,116,116,116,165.250,235.750
31,0,123,123,123,171.250,236.250
32,0,108,108,108,175.750,236.250
33,0,0,0,0,181.750,236.000
34,0,7,7,7,187.500,235.500
35,0,8,8,8,192.000,234.000
36,0,104,104,104,198.000,233.000
37,0,101,101,101,202.500,231.500
38,0,112,112,112,207.250,229.250
39,0,120,120,120,212.250,226.000
40,0,75,75,75,216.500,223.500
41,0,0,0,0,220.750,219.500
42,0,0,0,0,225.000,215.500
43,0,111,111,111,229.000,210.750
44,0,120,120,120,232.250,206.000
45,0,110,110,110,235.250,201.500
46,0,0,0,0,238.000,196.250
47,0,0,0,0,239.500,190.750
48,0,38,38,38,241.000,185.500
49,0,0,0,0,242.000,181.750
50,0,0,0,0,243.250,176.750
51,0,16,16,16,243.000,171.750
52,0,32,32,32,243.250,168.500
53,0,7,7,7,243.500,164.250
54,0,70,70,70,243.000,161.500
55,0,0,0,0,243.250,158.000
56,0,82,82,82,242.500,154.750
57,0,21,21,21,240.750,149.750
58,0,93,93,93,239.750,145.500
59,0,30,30,30,238.250,141.250
60,0,100,100,100,236.750,136.750
61,0,6,6,6,234.250,132.000
62,0,109,109,109,232.000,128.750
63,0,103,103,103,229.500,125.750
64,0,118,118,118,226.250,122.000
65,0,0,0,0,224.250,119.500
66,0,6,6,6,222.250,117.250
67,0,114,114,114,219.000,114.750
68,0,107,107,107,215.750,112.500
69,0,33,33,33,212.750,110.000
70,0,6,6,6,208.750,107.750
71,0,72,72,72,204.000,105.500
72,0,36,36,36,199.500,103.500
73,0,0,0,0,195.500,101.750
74,0,109,109,109,189.250,99.500
75,0,84,84,84,184.250,99.000
76,0,0,0,0,176.500,98.750
77,0,13,13,13,172.250,99.000
78,0,48,48,48,166.750,99.500
79,0,40,40,40,162.750,100.250
80,0,69,69,69,157.750,101.250
81,0,0,0,0,154.000,103.500
