 ,Area,Mean,Min,Max,X,Y
1,0,126,126,126,754.500,130.125
2,0,118,118,118,749.375,130.375
3,0,124,124,124,744.125,131.625
4,0,125,125,125,741.000,132.875
5,0,129,129,129,736.250,134.875
6,0,126,126,126,731.875,136.750
7,0,135,135,135,728.500,139.500
8,0,131,131,131,724.875,142.500
9,0,127,127,127,721.625,146.125
10,0,120,120,120,719.375,149.875
11,0,124,124,124,716.875,154.250
12,0,123,123,123,715.000,158.125
13,0,117,117,117,713.375,162.000
14,0,130,130,130,712.875,165.750
15,0,131,131,131,712.000,169.500
16,0,143,143,143,711.750,174.125
17,0,144,144,144,711.750,178.000
18,0,133,133,133,712.250,182.500
19,0,132,132,132,713.000,186.875
20,0,127,127,127,714.375,191.125
21,0,144,144,144,716.500,195.250
22,0,120,120,120,719.250,199.750
23,0,136,136,136,722.250,203.125
24,0,124,124,124,725.125,206.750
25,0,126,126,126,728.250,209.500
26,0,124,124,124,732.000,212.500
27,0,131,131,131,735.125,214.250
28,0,120,120,120,738.625,216.500
29,0,122,122,122,743.250,218.000
30,0,134,134,134,747.875,218.875
31,0,127,127,127,753.375,219.000
32,0,122,122,122,758.000,219.000
33,0,116,116,116,762.625,218.625
34,0,114,114,114,766.375,217.750
35,0,116,116,116,770.750,215.625
36,0,126,126,126,774.250,213.875
37,0,137,137,137,777.625,211.375
38,0,119,119,119,783.625,208.250
39,0,125,125,125,781.000,209.750
40,0,122,122,122,786.625,205.125
41,0,127,127,127,788.875,202.000
42,0,133,133,133,791.125,199.125
43,0,135,135,135,793.125,194.625
44,0,118,118,118,795.500,191.500
45,0,120,120,120,797.000,188.250
46,0,121,121,121,798.000,184.125
47,0,120,120,120,798.625,180.875
48,0,141,141,141,798.250,177.250
49,0,143,143,143,798.375,173.125
50,0,119,119,119,798.500,169.125
51,0,128,128,128,797.875,165.750
52,0,138,138,138,797.250,162.500
53,0,126,126,126,795.750,158.375
54,0,130,130,130,793.625,154.750
55,0,139,139,139,791.375,150.875
56,0,134,134,134,789.250,148.000
57,0,133,133,133,787.000,145.125
58,0,127,127,127,785.625,142.750
59,0,121,121,121,783.750,140.625
60,0,123,123,123,781.000,138.625
61,0,121,121,121,777.875,137.000
62,0,125,125,125,775.125,135.125
63,0,123,123,123,770.750,133.250
64,0,124,124,124,766.750,132.000
65,0,122,122,122,763.625,131.250
66,0,134,134,134,760.625,130.500
67,0,129,129,129,757.625,130.250
