 ,Area,Mean,Min,Max,X,Y
1,0,122,122,122,428.250,128.125
2,0,131,131,131,425.500,131.875
3,0,123,123,123,423.125,135.875
4,0,128,128,128,421.750,139.500
5,0,126,126,126,419.750,143.625
6,0,125,125,125,418.875,148.125
7,0,124,124,124,417.000,154.125
8,0,112,112,112,416.375,159.500
9,0,134,134,134,416.625,164.250
10,0,122,122,122,417.250,169.250
11,0,123,123,123,418.000,173.250
12,0,131,131,131,419.125,177.750
13,0,153,153,153,420.750,182.000
14,0,147,147,147,422.875,186.750
15,0,143,143,143,425.875,190.875
16,0,147,147,147,428.250,194.125
17,0,146,146,146,430.750,197.250
18,0,145,145,145,433.625,200.500
19,0,148,148,148,436.750,203.125
20,0,142,142,142,440.125,205.500
21,0,157,157,157,443.625,207.875
22,0,166,166,166,447.500,209.875
23,0,155,155,155,452.000,211.375
24,0,187,187,187,457.125,213.000
25,0,154,154,154,461.875,214.125
26,0,136,136,136,466.250,215.000
27,0,136,136,136,471.000,215.250
28,0,133,133,133,475.250,215.000
29,0,135,135,135,479.625,214.250
30,0,117,117,117,484.500,213.750
31,0,133,133,133,488.250,212.375
32,0,122,122,122,492.500,210.750
33,0,123,123,123,496.750,209.000
34,0,120,120,120,501.375,206.500
35,0,120,120,120,504.750,203.500
36,0,122,122,122,508.125,200.875
37,0,124,124,124,510.875,197.750
38,0,129,129,129,514.000,194.125
39,0,121,121,121,515.625,192.000
40,0,130,130,130,518.000,188.250
41,0,122,122,122,520.250,184.500
42,0,124,124,124,522.000,180.125
43,0,113,113,113,523.750,175.875
44,0,108,108,108,525.000,171.625
45,0,126,126,126,525.000,166.625
46,0,135,135,135,525.375,162.750
47,0,128,128,128,525.125,158.250
48,0,123,123,123,524.875,153.625
49,0,121,121,121,524.250,148.750
50,0,116,116,116,522.625,144.375
51,0,137,137,137,521.250,140.500
52,0,136,136,136,519.250,136.375
53,0,115,115,115,516.500,130.500
54,0,131,131,131,514.875,128.500
55,0,120,120,120,512.625,125.500
56,0,139,139,139,509.375,122.500
57,0,136,136,136,507.375,120.625
58,0,126,126,126,504.125,118.000
59,0,130,130,130,500.500,115.875
60,0,119,119,119,498.875,113.875
61,0,115,115,115,495.875,112.250
62,0,123,123,123,492.875,110.500
63,0,127,127,127,487.000,108.875
64,0,126,126,126,484.000,107.500
65,0,119,119,119,479.750,107.375
66,0,117,117,117,477.500,106.250
67,0,115,115,115,473.750,106.375
68,0,136,136,136,469.500,106.500
69,0,111,111,111,465.125,106.375
70,0,116,116,116,461.375,107.250
71,0,114,114,114,457.250,108.250
72,0,125,125,125,452.500,109.625
73,0,117,117,117,448.750,111.000
74,0,117,117,117,444.875,113.000
75,0,124,124,124,441.625,114.875
76,0,109,109,109,438.000,117.375
77,0,119,119,119,434.625,120.375
78,0,121,121,121,432.250,122.625
79,0,120,120,120,430.000,125.250
