 ,Area,Mean,Min,Max,X,Y
1,0,146,146,146,1266.000,146.833
2,0,152,152,152,1263.167,149.000
3,0,155,155,155,1259.833,152.167
4,0,157,157,157,1257.667,156.333
5,0,162,162,162,1255.333,159.667
6,0,165,165,165,1253.167,163.833
7,0,161,161,161,1251.500,167.833
8,0,152,152,152,1250.167,172.500
9,0,146,146,146,1249.000,176.667
10,0,134,134,134,1247.833,181.667
11,0,125,125,125,1247.333,187.000
12,0,127,127,127,1246.667,192.667
13,0,112,112,112,1246.667,199.667
14,0,107,107,107,1247.000,205.167
15,0,105,105,105,1247.333,211.167
16,0,99,99,99,1248.000,215.667
17,0,109,109,109,1249.167,220.167
18,0,155,155,155,1251.500,224.833
19,0,162,162,162,1256.167,224.333
20,0,145,145,145,1260.167,222.000
21,0,124,124,124,1263.500,219.833
22,0,122,122,122,1267.333,216.667
23,0,118,118,118,1271.000,213.000
24,0,117,117,117,1274.833,209.000
25,0,100,100,100,1278.667,205.500
26,0,95,95,95,1280.333,201.167
27,0,93,93,93,1281.333,197.333
28,0,95,95,95,1281.333,194.167
29,0,95,95,95,1281.833,189.000
30,0,106,106,106,1281.333,184.333
31,0,108,108,108,1280.833,179.833
32,0,98,98,98,1280.167,175.167
33,0,97,97,97,1279.167,172.167
34,0,99,99,99,1278.667,169.000
35,0,115,115,115,1277.833,165.333
36,0,133,133,133,1276.167,161.833
37,0,122,122,122,1274.667,158.667
38,0,129,129,129,1273.500,155.833
39,0,152,152,152,1272.333,153.833
40,0,167,167,167,1271.000,151.667
41,0,159,159,159,1269.333,149.000
42,0,150,150,150,1268.500,147.667
