 ,Area,Mean,Min,Max,X,Y
1,0,114,114,114,196.000,122.000
2,0,130,130,130,186.500,117.500
3,0,133,133,133,175.500,113.500
4,0,183,183,183,163.500,115.500
5,0,169,169,169,156.500,119.500
6,0,146,146,146,149.500,126.500
7,0,122,122,122,142.500,135.500
8,0,120,120,120,138.500,143.500
9,0,125,125,125,136.500,154.500
10,0,124,124,124,137.500,167.500
11,0,133,133,133,137.500,174.500
12,0,143,143,143,141.500,185.500
13,0,160,160,160,151.500,195.500
14,0,175,175,175,163.500,199.500
15,0,122,122,122,173.500,203.500
16,0,155,155,155,184.500,200.500
17,0,123,123,123,192.500,195.500
18,0,96,96,96,200.500,188.500
19,0,85,85,85,205.500,180.500
20,0,93,93,93,211.500,173.500
21,0,97,97,97,217.500,162.500
22,0,93,93,93,218.500,153.500
23,0,85,85,85,213.500,141.500
24,0,89,89,89,208.500,134.500
25,0,85,85,85,204.500,126.500
