 ,Area,Mean,Min,Max,X,Y
1,0,156,156,156,885.000,131.167
2,0,155,155,155,881.833,131.833
3,0,149,149,149,878.500,134.167
4,0,152,152,152,875.667,137.833
5,0,153,153,153,873.000,140.833
6,0,155,155,155,870.000,145.667
7,0,155,155,155,867.667,150.667
8,0,149,149,149,864.833,156.000
9,0,138,138,138,864.167,161.833
10,0,127,127,127,862.833,167.167
11,0,129,129,129,862.333,171.833
12,0,115,115,115,862.000,177.000
13,0,102,102,102,861.167,183.167
14,0,105,105,105,861.667,189.000
15,0,98,98,98,862.667,193.500
16,0,106,106,106,863.833,198.333
17,0,104,104,104,865.667,202.500
18,0,144,144,144,869.167,207.000
19,0,147,147,147,873.333,208.333
20,0,163,163,163,877.333,207.833
21,0,144,144,144,882.500,206.500
22,0,127,127,127,887.333,204.667
23,0,121,121,121,890.667,202.000
24,0,113,113,113,894.667,198.833
25,0,116,116,116,898.500,195.667
26,0,110,110,110,901.333,192.833
27,0,99,99,99,903.833,189.167
28,0,94,94,94,906.167,185.667
29,0,87,87,87,907.667,181.833
30,0,89,89,89,908.167,178.500
31,0,89,89,89,908.500,174.667
32,0,93,93,93,908.667,171.000
33,0,92,92,92,907.667,166.333
34,0,88,88,88,907.167,162.167
35,0,86,86,86,906.333,158.500
36,0,97,97,97,904.500,155.000
37,0,104,104,104,902.500,151.333
38,0,129,129,129,900.333,148.333
39,0,125,125,125,898.000,145.167
40,0,120,120,120,896.500,142.000
41,0,138,138,138,893.833,138.500
42,0,148,148,148,892.000,136.500
43,0,150,150,150,890.500,134.500
44,0,162,162,162,889.000,132.500
45,0,137,137,137,887.500,131.167
