 ,Area,Mean,Min,Max,X,Y
1,0,155,155,155,521.750,119.250
2,0,153,153,153,516.000,122.250
3,0,140,140,140,511.250,126.250
4,0,152,152,152,508.500,130.500
5,0,155,155,155,505.500,134.750
6,0,160,160,160,502.750,139.750
7,0,152,152,152,500.250,146.250
8,0,134,134,134,498.250,153.500
9,0,128,128,128,497.250,159.500
10,0,112,112,112,496.750,167.250
11,0,106,106,106,496.750,175.000
12,0,101,101,101,499.000,183.500
13,0,105,105,105,501.000,189.000
14,0,114,114,114,503.500,196.500
15,0,152,152,152,507.000,200.000
16,0,137,137,137,512.000,199.750
17,0,136,136,136,516.750,200.750
18,0,165,165,165,522.500,200.250
19,0,131,131,131,528.500,198.250
20,0,108,108,108,534.500,194.250
21,0,96,96,96,540.000,190.000
22,0,106,106,106,545.750,184.500
23,0,93,93,93,551.000,178.500
24,0,89,89,89,554.500,174.250
25,0,90,90,90,553.750,169.250
26,0,97,97,97,553.250,163.750
27,0,94,94,94,551.750,158.250
28,0,93,93,93,550.750,153.000
29,0,95,95,95,548.750,147.750
30,0,106,106,106,546.750,143.500
31,0,120,120,120,544.500,139.250
32,0,125,125,125,542.250,135.250
33,0,140,140,140,539.250,131.250
34,0,143,143,143,536.250,127.750
35,0,131,131,131,533.000,125.000
36,0,132,132,132,528.750,122.250
