 ,Area,Mean,Min,Max,X,Y
1,0,1,1,1,1248.833,379.833
2,0,0,0,0,1241.167,380.500
3,0,0,0,0,1232.500,384.167
4,0,0,0,0,1222.500,390.500
5,0,0,0,0,1216.833,399.167
6,0,0,0,0,1212.500,405.500
7,0,0,0,0,1206.167,415.833
8,0,0,0,0,1201.167,424.167
9,0,0,0,0,1196.833,433.500
10,0,0,0,0,1193.167,442.500
11,0,0,0,0,1188.833,457.167
12,0,0,0,0,1185.833,467.500
13,0,0,0,0,1184.167,477.500
14,0,0,0,0,1183.167,486.500
15,0,33,33,33,1182.500,497.500
16,0,0,0,0,1181.500,506.500
17,0,0,0,0,1181.833,517.833
18,0,0,0,0,1182.833,529.500
19,0,0,0,0,1184.833,541.833
20,0,0,0,0,1187.500,556.167
21,0,0,0,0,1190.833,568.167
22,0,0,0,0,1195.500,580.500
23,0,0,0,0,1201.167,592.500
24,0,0,0,0,1207.167,603.167
25,0,0,0,0,1212.500,611.833
26,0,0,0,0,1217.500,619.500
27,0,0,0,0,1225.167,628.833
28,0,0,0,0,1230.833,634.167
29,0,7,7,7,1235.833,636.500
30,0,5,5,5,1242.500,638.167
31,0,0,0,0,1250.500,637.167
32,0,0,0,0,1256.833,635.167
33,0,0,0,0,1264.833,632.167
34,0,0,0,0,1272.500,627.500
35,0,0,0,0,1281.500,622.167
36,0,0,0,0,1281.167,622.167
37,0,0,0,0,1288.500,614.500
38,0,0,0,0,1295.167,607.167
39,0,0,0,0,1302.500,598.167
40,0,0,0,0,1310.167,586.833
41,0,0,0,0,1316.500,575.500
42,0,1,1,1,1320.833,566.500
43,0,0,0,0,1324.833,555.167
44,0,18,18,18,1328.500,544.500
45,0,0,0,0,1330.500,534.833
46,0,137,137,137,1332.500,526.500
47,0,6,6,6,1331.500,516.167
48,0,0,0,0,1332.500,504.167
49,0,61,61,61,1332.500,495.167
50,0,0,0,0,1330.833,487.167
51,0,4,4,4,1329.500,476.500
52,0,22,22,22,1326.500,466.167
53,0,0,0,0,1323.167,455.833
54,0,44,44,44,1319.500,446.167
55,0,0,0,0,1315.167,438.167
56,0,23,23,23,1310.500,429.833
57,0,0,0,0,1304.833,421.833
58,0,0,0,0,1298.500,413.833
59,0,0,0,0,1291.167,405.833
60,0,1,1,1,1284.500,398.833
61,0,0,0,0,1277.167,392.167
62,0,1,1,1,1269.500,385.833
63,0,6,6,6,1259.833,380.500
