 ,Area,Mean,Min,Max,X,Y
1,0,6,6,6,122.500,374.500
2,0,0,0,0,113.833,378.833
3,0,4,4,4,104.833,384.500
4,0,0,0,0,98.167,388.833
5,0,0,0,0,90.833,394.833
6,0,0,0,0,83.833,401.167
7,0,0,0,0,74.833,410.833
8,0,0,0,0,68.167,418.833
9,0,0,0,0,61.833,428.167
10,0,0,0,0,57.167,436.500
11,0,0,0,0,53.167,443.167
12,0,0,0,0,49.833,450.833
13,0,0,0,0,46.833,458.500
14,0,0,0,0,44.833,466.833
15,0,0,0,0,42.167,475.833
16,0,0,0,0,40.833,483.500
17,0,0,0,0,40.167,490.500
18,0,0,0,0,38.500,495.833
19,0,2,2,2,38.833,503.833
20,0,3,3,3,38.833,510.833
21,0,0,0,0,38.833,519.167
22,0,0,0,0,39.833,528.500
23,0,8,8,8,41.167,538.167
24,0,0,0,0,43.500,546.833
25,0,0,0,0,45.167,554.167
26,0,0,0,0,47.167,559.167
27,0,0,0,0,49.500,566.167
28,0,0,0,0,52.833,573.833
29,0,0,0,0,56.167,581.167
30,0,0,0,0,60.833,587.500
31,0,15,15,15,65.167,595.833
32,0,1,1,1,69.500,600.167
33,0,0,0,0,74.833,607.167
34,0,0,0,0,79.833,612.500
35,0,0,0,0,85.833,618.833
36,0,0,0,0,92.167,624.167
37,0,0,0,0,99.167,629.167
38,0,0,0,0,106.167,633.833
39,0,0,0,0,113.167,638.167
40,0,0,0,0,119.833,642.167
41,0,2,2,2,128.167,645.833
42,0,3,3,3,134.500,647.833
43,0,26,26,26,141.500,649.500
44,0,0,0,0,148.500,652.500
45,0,0,0,0,157.167,654.167
46,0,0,0,0,165.500,655.833
47,0,0,0,0,172.500,656.167
48,0,7,7,7,182.167,657.167
49,0,6,6,6,192.500,656.833
50,0,0,0,0,201.167,656.500
51,0,0,0,0,211.500,655.500
52,0,0,0,0,217.500,653.833
53,0,0,0,0,225.167,652.167
54,0,0,0,0,233.833,649.833
55,0,1,1,1,242.167,646.833
56,0,0,0,0,250.833,642.500
57,0,0,0,0,257.500,638.833
58,0,0,0,0,265.167,634.833
59,0,0,0,0,271.167,630.500
60,0,0,0,0,277.500,625.500
61,0,0,0,0,283.500,621.500
62,0,0,0,0,289.167,615.500
63,0,0,0,0,295.833,608.833
64,0,0,0,0,299.833,604.500
65,0,0,0,0,305.167,598.833
66,0,14,14,14,310.167,592.500
67,0,0,0,0,312.167,588.167
68,0,0,0,0,316.167,582.167
69,0,0,0,0,320.167,574.167
70,0,0,0,0,324.167,566.167
71,0,2,2,2,328.167,555.833
72,0,0,0,0,330.167,546.833
73,0,0,0,0,332.500,536.833
74,0,0,0,0,334.500,523.167
75,0,0,0,0,334.833,514.167
76,0,39,39,39,335.833,502.167
77,0,0,0,0,333.833,488.500
78,0,0,0,0,331.167,473.167
79,0,102,102,102,328.500,461.167
80,0,102,102,102,325.167,450.833
81,0,0,0,0,320.167,442.833
82,0,6,6,6,316.167,434.167
83,0,0,0,0,309.500,425.500
84,0,0,0,0,304.833,417.500
85,0,0,0,0,299.167,410.500
86,0,8,8,8,291.833,403.167
87,0,0,0,0,283.167,394.833
88,0,0,0,0,273.833,388.167
89,0,6,6,6,266.833,382.500
90,0,3,3,3,258.833,377.833
91,0,15,15,15,250.500,373.500
92,0,0,0,0,242.500,370.500
93,0,0,0,0,235.833,368.167
94,0,33,33,33,227.500,364.500
95,0,0,0,0,218.500,363.167
96,0,0,0,0,213.167,362.500
97,0,0,0,0,201.833,360.500
98,0,0,0,0,194.167,360.167
99,0,0,0,0,185.833,359.833
100,0,0,0,0,180.167,359.833
101,0,0,0,0,172.833,359.833
102,0,0,0,0,165.167,360.833
103,0,0,0,0,158.833,362.500
104,0,0,0,0,151.833,364.167
105,0,1,1,1,146.500,365.167
106,0,0,0,0,140.833,367.167
107,0,0,0,0,134.833,368.500
108,0,0,0,0,129.167,371.167
