 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,891.833,368.500
2,0,0,0,0,885.500,369.167
3,0,2,2,2,880.167,370.500
4,0,4,4,4,874.500,373.500
5,0,19,19,19,868.833,377.500
6,0,0,0,0,862.500,382.500
7,0,0,0,0,854.500,389.833
8,0,0,0,0,848.500,397.167
9,0,0,0,0,842.833,403.500
10,0,6,6,6,838.167,409.833
11,0,0,0,0,834.167,416.500
12,0,36,36,36,830.500,423.500
13,0,0,0,0,825.833,431.833
14,0,23,23,23,821.167,441.167
15,0,0,0,0,818.500,449.500
16,0,0,0,0,815.167,459.833
17,0,0,0,0,812.833,469.500
18,0,17,17,17,810.167,479.500
19,0,0,0,0,809.833,489.500
20,0,0,0,0,808.833,499.833
21,0,0,0,0,809.167,510.500
22,0,0,0,0,809.500,520.500
23,0,0,0,0,810.167,530.833
24,0,0,0,0,811.500,543.833
25,0,0,0,0,815.167,556.833
26,0,0,0,0,818.833,567.500
27,0,14,14,14,823.500,580.167
28,0,4,4,4,828.167,590.500
29,0,0,0,0,835.167,601.833
30,0,0,0,0,841.833,611.500
31,0,4,4,4,849.833,620.833
32,0,96,96,96,856.500,628.167
33,0,1,1,1,864.500,637.167
34,0,0,0,0,874.833,643.500
35,0,0,0,0,885.167,647.500
36,0,2,2,2,895.833,648.167
37,0,1,1,1,906.500,647.167
38,0,0,0,0,917.500,642.833
39,0,1,1,1,926.833,637.833
40,0,0,0,0,936.500,630.833
41,0,0,0,0,944.167,624.833
42,0,0,0,0,951.833,617.833
43,0,0,0,0,958.500,610.833
44,0,0,0,0,965.500,604.167
45,0,0,0,0,973.167,594.167
46,0,3,3,3,979.833,585.167
47,0,0,0,0,983.833,575.500
48,0,0,0,0,989.500,562.833
49,0,0,0,0,993.167,553.167
50,0,0,0,0,996.500,541.500
51,0,0,0,0,998.500,531.833
52,0,0,0,0,999.500,521.833
53,0,0,0,0,999.500,509.167
54,0,0,0,0,999.500,497.500
55,0,4,4,4,998.167,485.500
56,0,10,10,10,995.500,470.833
57,0,0,0,0,992.167,458.833
58,0,2,2,2,987.500,447.833
59,0,66,66,66,983.500,438.833
60,0,2,2,2,977.500,429.500
61,0,0,0,0,971.167,420.500
62,0,103,103,103,966.500,413.167
63,0,0,0,0,959.833,406.500
64,0,12,12,12,954.500,401.167
65,0,0,0,0,946.500,393.500
66,0,0,0,0,937.833,387.167
67,0,19,19,19,930.500,381.833
68,0,12,12,12,924.167,378.167
69,0,0,0,0,916.167,374.500
70,0,0,0,0,907.167,370.500
71,0,0,0,0,900.167,368.500
