 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,538.500,362.833
2,0,0,0,0,530.500,363.167
3,0,9,9,9,522.500,363.833
4,0,0,0,0,515.833,366.500
5,0,7,7,7,509.500,369.500
6,0,0,0,0,504.833,372.167
7,0,0,0,0,499.833,375.833
8,0,0,0,0,494.833,379.167
9,0,0,0,0,490.167,382.833
10,0,0,0,0,485.167,386.833
11,0,0,0,0,479.500,391.500
12,0,0,0,0,475.167,396.167
13,0,0,0,0,469.833,400.833
14,0,0,0,0,465.500,406.167
15,0,0,0,0,460.500,411.833
16,0,0,0,0,456.500,417.167
17,0,20,20,20,454.500,421.833
18,0,0,0,0,450.167,428.500
19,0,11,11,11,446.500,435.833
20,0,0,0,0,442.833,443.500
21,0,0,0,0,439.167,452.500
22,0,27,27,27,438.500,455.833
23,0,0,0,0,436.167,463.833
24,0,0,0,0,434.167,470.833
25,0,0,0,0,431.500,478.833
26,0,0,0,0,431.167,485.500
27,0,0,0,0,430.167,495.833
28,0,25,25,25,429.167,504.500
29,0,0,0,0,429.833,512.833
30,0,0,0,0,430.167,523.167
31,0,5,5,5,431.500,533.833
32,0,1,1,1,433.167,543.500
33,0,0,0,0,435.833,554.167
34,0,3,3,3,439.833,565.500
35,0,0,0,0,443.833,575.833
36,0,7,7,7,448.500,584.833
37,0,0,0,0,452.500,593.500
38,0,0,0,0,458.833,603.167
39,0,0,0,0,465.833,611.500
40,0,0,0,0,472.500,618.833
41,0,0,0,0,477.500,623.500
42,0,0,0,0,483.167,629.167
43,0,0,0,0,489.833,634.500
44,0,7,7,7,498.500,640.167
45,0,1,1,1,508.500,646.833
46,0,0,0,0,516.500,650.500
47,0,0,0,0,525.500,653.833
48,0,0,0,0,533.833,655.500
49,0,0,0,0,541.833,655.500
50,0,9,9,9,551.167,655.167
51,0,0,0,0,561.167,652.167
52,0,7,7,7,569.167,648.167
53,0,15,15,15,579.500,644.833
54,0,37,37,37,588.500,640.500
55,0,17,17,17,598.833,634.833
56,0,0,0,0,607.500,627.833
57,0,33,33,33,616.833,621.500
58,0,1,1,1,625.833,612.500
59,0,0,0,0,634.167,603.833
60,0,0,0,0,640.500,593.500
61,0,0,0,0,646.167,586.167
62,0,0,0,0,652.167,574.167
63,0,1,1,1,655.833,566.167
64,0,11,11,11,660.167,557.500
65,0,5,5,5,662.500,548.167
66,0,0,0,0,665.167,537.167
67,0,0,0,0,666.500,524.167
68,0,0,0,0,667.833,510.833
69,0,27,27,27,667.833,496.500
70,0,7,7,7,664.833,482.500
71,0,14,14,14,662.833,467.833
72,0,0,0,0,657.833,455.833
73,0,39,39,39,652.500,442.167
74,0,1,1,1,645.833,430.500
75,0,26,26,26,637.500,418.167
76,0,0,0,0,628.167,406.833
77,0,0,0,0,621.167,399.500
78,0,0,0,0,611.167,391.833
79,0,10,10,10,600.500,384.167
80,0,0,0,0,590.167,378.167
81,0,0,0,0,580.167,372.833
82,0,0,0,0,571.500,369.167
83,0,0,0,0,561.167,365.500
84,0,9,9,9,554.833,364.167
85,0,0,0,0,545.167,362.500
